Timestamp,  What is your age group?  ,  What is your occupation?  ,  What is your monthly household income?  ,Where do you live in Mayur Vihar?,  How often do you consume coffee?  ,Where do you usually buy your coffee?,  How much do you typically spend on coffee per week?  ,What type of coffee do you prefer? (Select all that apply)  ,What factors influence your choice of coffee shop? (Select all that apply)  ,  What time of day do you usually drink coffee?  ," How important is sustainability (e.g., eco-friendly packaging, fair trade coffee) when choosing a coffee brand?  ",Would you prefer a new coffee shop to offer any of the following? (Select all that apply)  ,"  On a scale of 1 to 5, how satisfied are you with the current coffee options in Mayur Vihar?  ",  What improvements would you like to see in the coffee shops in Mayur Vihar?  ,  Would you visit a new coffee shop in Mayur Vihar if one opened?  
10/7/2024 23:47,Under 18,Student,"Under ₹20,000",Phase 3,Daily,Grocery stores (pre-packaged coffee),₹300 - ₹500,Black coffee,Price,Mid-morning (9 AM – 12 PM),Very important,"Loyalty or rewards program, ",3 (Neutral),Nothing ,Maybe
10/7/2024 23:48,Under 18,Employed (full-time),"₹50,000 - ₹1,00,000",Phase 2,1-2 times a week,Restaurants,₹300 - ₹500,Instant coffee,Customer service,Evening (4 PM – 7 PM),Not important,Quiet workspaces,1 (Very dissatisfied),Very much ,Yes
10/7/2024 23:49,Under 18,Student,"₹20,000 - ₹50,000",Phase 1,3-5 times a week,Restaurants,₹100 - ₹300,Cappuccino,Price,Morning (before 9 AM),Very important,Outdoor seating,2 (Dissatisfied),Nothing ,Maybe
10/7/2024 23:51,Over 60,Student,"₹20,000 - ₹50,000",idk,Occasionally,Restaurants,Under ₹100,coffee ,Location (convenience),Morning (before 9 AM),Somewhat important,Free Wi-Fi,4 (Satisfied),isk,Yes
10/7/2024 23:51,18-25,Student,"Over ₹1,00,000",Phase 3,Daily,Make coffee at home,Under ₹100,"Espresso, Cappuccino, Latte, Black coffee, Cold brew, Instant coffee","Location (convenience), Price, Quality of coffee, Variety of options, Ambiance and atmosphere, Customer service, Loyalty rewards",Mid-morning (9 AM – 12 PM),Very important,"Free Wi-Fi, Quiet workspaces, Outdoor seating, Loyalty or rewards program",1 (Very dissatisfied),Free wifi and comfortable seats preferably add more sofas ,Yes
10/8/2024 0:00,Under 18,Student,"Under ₹20,000",Phase 2,3-5 times a week,Make coffee at home,₹300 - ₹500,Cold brew,Quality of coffee,Night (after 7 PM),Somewhat important,Free Wi-Fi,2 (Dissatisfied),,Maybe
10/8/2024 0:00,Under 18,Student,"₹20,000 - ₹50,000",Phase 2,Rarely/Never,Local cafés,Under ₹100,Espresso,"Location (convenience), Price, Quality of coffee, Ambiance and atmosphere",Evening (4 PM – 7 PM),Somewhat important,"Free Wi-Fi, Quiet workspaces, Loyalty or rewards program",3 (Neutral),Quiet and personal spaces with affordable prices,Yes
10/8/2024 0:00,Under 18,Student,"₹50,000 - ₹1,00,000",What,3-5 times a week,Grocery stores (pre-packaged coffee),Under ₹100,"Espresso, Cappuccino, Latte, Black coffee",What,Night (after 7 PM),Somewhat important,Vegan or dairy-free options,3 (Neutral),What,Maybe
10/8/2024 0:01,18-25,Unemployed,"₹50,000 - ₹1,00,000",Phase 2,3-5 times a week,Make coffee at home,Under ₹100,Latte,Quality of coffee,Morning (before 9 AM),Somewhat important,Organic coffee,3 (Neutral),,Yes
10/8/2024 0:08,18-25,Student,"Over ₹1,00,000",Phase 2,Rarely/Never,Local cafés,₹100 - ₹300,"Espresso, Latte","Location (convenience), Quality of coffee",Morning (before 9 AM),Very important,Outdoor seating,5 (Very satisfied),A rewarding system,Yes
10/8/2024 0:22,18-25,Student,"₹50,000 - ₹1,00,000",Phase 2,3-5 times a week,Local cafés,₹100 - ₹300,Cold brew,"Price, Ambiance and atmosphere",Mid-morning (9 AM – 12 PM),Very important,Outdoor seating,4 (Satisfied),,Yes
10/8/2024 0:23,26-35,Employed (full-time),"Over ₹1,00,000",Phase 3,Occasionally,"Coffee shops (e.g., Starbucks, Café Coffee Day)",Over ₹500,"Espresso, Cappuccino","Location (convenience), Ambiance and atmosphere",Morning (before 9 AM),Very important,"Free Wi-Fi, Quiet workspaces, Loyalty or rewards program",4 (Satisfied),,Maybe
10/8/2024 0:23,18-25,Student,"₹50,000 - ₹1,00,000",Phase 2,3-5 times a week,Local cafés,₹100 - ₹300,"Espresso, Latte","Location (convenience), Quality of coffee",Mid-morning (9 AM – 12 PM),Very important,"Free Wi-Fi, Outdoor seating",4 (Satisfied),,Yes
